db,db_label,prompt_type,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,whole_sem_p90,sent_pseudo_ratio,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_pair_count,sentence_count,top1_sent_mean,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_lex_p90,whole_pseudo_ratio,sent_score,top10_imagery_concentration,mihi_full,imagery_jaccard_p90,whole_sem_p50,sent_highsim_ratio,whole_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,type_c,deepseek-3.2-thinking,36,11,1,鹧鸪天,0.873452,exploratory,0.759140,0.769697,0.990723,4455.000000,0.551341,0.066364,55.000000,0.109375,0.480817,55.000000,99.000000,0.610022,0.000000,0.531587,88.000000,0.948450,0.171875,1.000000,0.418764,0.212121,0.399054,0.071429,0.607690,0.012121,0.000000,8.000000,0.528001,0.445810,0.491015,-0.010198
a1,无限制生成,type_c,doubao-seed-2.0-pro,47,38,2,卜算子|鹧鸪天,0.831090,exploratory,0.767464,0.905817,0.991081,12738.315789,0.585312,0.051306,172.473684,0.125443,0.524145,172.473684,162.947368,0.635176,0.000000,0.572983,167.421053,0.891398,0.200696,1.000000,0.464453,0.133717,0.430662,0.051242,0.683272,0.005388,0.005540,5.894737,0.518587,0.432339,0.479776,0.044369
a1,无限制生成,type_c,gemini-3-flash,17,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,gemini-3.1-pro,9,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,glm-4.7,17,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,glm-5,37,9,1,鹧鸪天,0.891593,exploratory,0.729343,0.805556,0.996466,2916.000000,0.531312,0.042114,36.000000,0.125000,0.476505,36.000000,81.000000,0.580741,0.000000,0.526100,88.000000,0.946265,0.156250,1.000000,0.415889,0.152174,0.390729,0.023810,0.614593,0.000000,0.000000,5.000000,0.513214,0.446898,0.483372,-0.006867
a1,无限制生成,type_c,gpt-5.4-high,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,kimi-k2.5,19,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,qwen3-max,45,20,1,青玉案,0.566510,exploratory,0.916374,0.359298,0.922829,27360.000000,0.810517,0.241230,190.000000,0.269099,0.690821,190.000000,240.000000,0.884200,0.123293,0.817610,137.800000,0.511231,0.445796,0.993684,0.535856,0.326352,0.603720,0.304853,0.860132,0.407018,0.563158,2.000000,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,type_c,qwen3.5-flash,31,11,1,鹧鸪天,0.850054,exploratory,0.835249,0.909091,0.989591,4455.000000,0.626439,0.082002,55.000000,0.125000,0.562045,55.000000,99.000000,0.675046,0.000000,0.627115,123.000000,0.691370,0.196875,1.000000,0.482514,0.164286,0.467482,0.068966,0.731263,0.018182,0.054545,3.000000,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,type_c,qwen3.6-plus,33,16,1,鹧鸪天,0.749498,exploratory,0.819121,0.838889,0.974858,9720.000000,0.630729,0.093137,120.000000,0.156250,0.544695,120.000000,144.000000,0.689423,0.000000,0.606132,158.000000,0.662230,0.218750,1.000000,0.469605,0.179612,0.455748,0.083696,0.707458,0.027778,0.033333,4.000000,0.524806,0.440452,0.486847,0.057848
b2,五词牌-改革主题,type_d,gemini-3.1-pro,4,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,五词牌-改革主题,type_d,glm-5,29,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,18,18,1,沁园春,0.000000,low_sample,0.935109,0.300654,0.960053,95625.000000,0.818970,0.117201,153.000000,0.185714,0.728809,153.000000,450.000000,0.885035,0.000000,0.920706,85.000000,0.852792,0.256811,1.000000,0.494269,0.316239,0.610752,0.140952,0.906490,0.346405,0.934641,3.000000,0.629977,0.456633,0.551972,0.176837
c2,沁园春-改革主题,type_e,qwen3.6-plus,19,19,1,沁园春,0.000000,low_sample,0.928201,0.399610,0.967198,107776.000000,0.771750,0.073446,171.000000,0.157706,0.716466,171.000000,477.000000,0.844930,0.031250,0.927012,215.000000,0.949452,0.208633,1.000000,0.459132,0.172185,0.592541,0.078947,0.904122,0.214425,0.982456,2.000000,0.643064,0.459447,0.560436,0.156030
